"Age","LearningCategorySelftTaught","LearningCategoryOnlineCourses","LearningCategoryWork","LearningCategoryUniversity","LearningCategoryKaggle","GenderSelect","Country","EmploymentStatus","DataScienceIdentitySelect","FormalEducation","MajorSelect","Tenure","FirstTrainingSelect","ParentsEducation","EmployerIndustry","EmployerSize","EmployerSizeChange","EmployerMLTime","EmployerSearchMethod","RemoteWork","CompensationAmount","CompensationCurrency.x","FormalEducation_Q","Tenure_Q","EmployerSize_Q","CompensationCurrency.y","...1","exchangeRate","frac","Salary_USD","Compensation_Median_USD","Median_to_Salary"
56,30,0,40,30,0,"Male","United States","Independent contractor, freelancer, or self-employed","Yes","Master's degree","Mathematics or statistics","More than 10 years","University courses","High school","Mix of fields","","","","","",250000,"USD",5,5,NA,"AMD",46,0.00209,0,522.5,1956.24,3.744
56,30,0,40,30,0,"Male","United States","Independent contractor, freelancer, or self-employed","Yes","Master's degree","Mathematics or statistics","More than 10 years","University courses","High school","Mix of fields","","","","","",250000,"USD",5,5,NA,"USD",1,1,1,250000,1956.24,0.00782496
43,70,0,30,0,0,"Female","Australia","Employed full-time","No","Bachelor's degree","","3 to 5 years","Work","A doctoral degree","Non-profit","20 to 99 employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Rarely",80000,"AUD",4,3,3,"AUD",8,0.80231,0.98,64184.8,104300.3,1.625
43,70,0,30,0,0,"Female","Australia","Employed full-time","No","Bachelor's degree","","3 to 5 years","Work","A doctoral degree","Non-profit","20 to 99 employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Rarely",80000,"AUD",4,3,3,"USD",1,1,0.02,80000,104300.3,1.30375375
33,10,70,15,0,5,"Male","Russia","Employed full-time","Sort of (Explain more)","Bachelor's degree","Other","1 to 2 years","Self-taught","A bachelor's degree","Internet-based","20 to 99 employees","Stayed the same","1-2 years","I visited the company's Web site and found a job listing there","Rarely",1200000,"RUB",4,2,3,"EUR",2,1.195826,0.03,1434991.2,71749.56,0.05
33,10,70,15,0,5,"Male","Russia","Employed full-time","Sort of (Explain more)","Bachelor's degree","Other","1 to 2 years","Self-taught","A bachelor's degree","Internet-based","20 to 99 employees","Stayed the same","1-2 years","I visited the company's Web site and found a job listing there","Rarely",1200000,"RUB",4,2,3,"RUB",6,0.017402,0.76,20882.4,71749.56,3.43588667969199
33,10,70,15,0,5,"Male","Russia","Employed full-time","Sort of (Explain more)","Bachelor's degree","Other","1 to 2 years","Self-taught","A bachelor's degree","Internet-based","20 to 99 employees","Stayed the same","1-2 years","I visited the company's Web site and found a job listing there","Rarely",1200000,"RUB",4,2,3,"USD",1,1,0.21,1200000,71749.56,0.0597913
27,10,0,30,40,0,"Male","India","Employed full-time","","Bachelor's degree","Electrical Engineering","3 to 5 years","University courses","","Mix of fields","100 to 499 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",95000,"INR",4,3,4,"INR",3,0.01562,0.94,17806.8,28116,1.57894736842105
27,10,0,30,40,0,"Male","India","Employed full-time","","Bachelor's degree","Electrical Engineering","3 to 5 years","University courses","","Mix of fields","100 to 499 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",95000,"INR",4,3,4,"RON",43,0.259964,0,24696.58,28116,1.13845722768092
27,10,0,30,40,0,"Male","India","Employed full-time","","Bachelor's degree","Electrical Engineering","3 to 5 years","University courses","","Mix of fields","100 to 499 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",95000,"INR",4,3,4,"RSD",45,0.01002,0.01,11422.8,28116,2.46139300346675
